TotalDisplacement 4672689
MaxDisplacement 346
NumCells 210904
c153926 763 8523
c153923 740 8187
c153816 777 7803
c153809 753 8187
c153774 765 8151
c153559 777 8283
c153750 749 8331
c154095 772 9135
c153931 768 7839
c153770 751 8343
c154606 772 8463
c153924 764 8127
c153893 783 7839
c154383 775 8343
c155066 771 9327
c154388 767 8055
c154395 780 9363
c154244 778 7791
c153802 762 8367
c154991 793 8199
c153938 780 8139
c153942 780 8259
c154258 767 9531
c154248 786 8463
c154502 779 8055
c153629 764 8271
c153747 753 8079
c153781 764 7887
c153801 759 8295
c155061 785 9675
c154386 773 7947
c153875 760 9483
c153877 743 9579
c153758 777 7827
c153939 787 8055
c153587 793 8691
c154498 770 9423
c153898 778 8523
c154410 789 8415
c153652 768 9075
c153778 777 8619
c153844 777 7707
c154890 782 8475
c153936 788 8355
c153773 777 8127
c154093 775 9339
c154122 773 8331
c154397 780 9279
c154133 777 7959
c154988 765 8211
c154249 749 8307
c154389 777 9567
c153840 753 8007
c154503 793 8091
c154978 793 8343
c153784 777 7767
c154612 761 9315
c155034 785 9171
c154340 766 9471
c154062 767 9579
c154066 755 9387
c153556 762 8307
c153805 773 8211
c153618 775 9315
c154059 779 9531
c154408 770 9267
c154695 781 8979
c154123 772 8271
c155023 772 8307
c153901 769 8115
c154406 779 9195
c154399 780 9207
c153622 782 9123
c154493 782 9267
c153648 768 9387
c154250 787 8283
c153845 741 7899
c154509 793 8259
c153874 768 9543
c130022 794 7683
c154087 776 9303
c153608 787 8439
c154500 784 9243
c154497 784 9291
c153794 765 7899
c154085 776 9327
c153818 777 8007
c153613 784 9483
c153933 785 7947
c154604 775 7923
c153606 791 7923
c154609 778 9507
c154135 773 7779
c154110 770 8391
c154786 783 8391
c154400 779 9159
c154245 774 7851
c153900 788 8271
c154118 771 8379
c153600 793 8379
c153610 793 7887
c153772 777 8079
c153797 777 8187
c154385 789 7935
c154086 779 9183
c153628 788 8391
c154421 783 8067
c154688 784 8307
c154836 793 7959
c154837 796 7875
c154264 796 8391
c154109 788 8511
c154111 787 8319
c154061 778 9471
c153614 778 9423
c154178 785 7911
c154504 793 8139
c209770 883 4215
c154450 782 8115
c154297 787 8859
c153558 783 8295
c154801 796 8763
c154261 796 8295
c207754 930 6411
c207740 938 6447
c160430 1058 10971
c209897 1063 3687
c160429 1070 11127
c160939 1089 11019
c209896 1106 3879
c162156 1133 11019
c162128 1161 11043
c160941 1125 11007
c161676 1165 11031
c160821 1168 11019
c161381 1154 11007
c161675 1162 10923
c160431 1173 11067
c161382 1176 10995
c162039 1181 11127
c162677 1181 10935
c161759 1157 10959
c161413 1197 11091
c160428 1174 11007
c162683 1204 11031
c160818 1177 10959
c161383 1196 10971
c161674 1205 11019
c161760 1209 10995
c161677 1182 10923
c161758 1203 11007
c161380 1206 10959
c209788 1312 7431
c161409 1202 10923
c17678 1233 3879
c161412 1236 11091
c209792 1312 7119
c13555 1244 3891
c162093 1247 10923
c46881 1306 2691
c14310 1270 5139
c210542 1270 6207
c209798 1312 7779
c17716 1270 5235
c160937 1225 10935
c160817 1216 10971
c16272 1260 3915
c209806 1312 6927
c162027 1254 10935
c161414 1267 10983
c209786 1312 6987
c14859 1269 3831
c160940 1303 10863
c14337 1271 3975
c160819 1245 10971
c162625 1272 11019
c160426 1272 11043
c18141 1273 5187
c14313 1270 5319
c14332 1270 5127
c161411 1274 11091
c16041 1270 5151
c16603 1270 5331
c15696 1280 4131
c16039 1270 5211
c18136 1281 5163
c160942 1281 10923
c209776 1312 7131
c16504 1286 5295
c14322 1289 5115
c14309 1289 4935
c46901 1306 2451
c14317 1270 5079
c14088 1274 5067
c161379 1291 10971
c14092 1292 4707
c18821 1292 4983
c14082 1293 5031
c160820 1293 10983
c16042 1294 4851
c14326 1294 5223
c16999 1282 5331
c161416 1295 11067
c162682 1303 10911
c16604 1299 5319
c16697 1287 5187
c15738 1290 5211
c14081 1270 4923
c18139 1299 5235
c16944 1293 5331
c14320 1290 5151
c14315 1302 5175
c14328 1295 5211
c160935 1304 10815
c16624 1305 5247
c14095 1306 4647
c13554 1287 3879
c18194 1297 5259
c17709 1299 5187
c14339 1295 3879
c162123 1303 10839
c161410 1308 11091
c15698 1308 4119
c16273 1309 3795
c16625 1295 5307
c17508 1302 5367
c16106 1271 5091
c15883 1299 5079
c160433 1312 11055
c18028 1324 5211
c16546 1272 5403
c17677 1313 3939
c14079 1314 4863
c14338 1314 3807
c161415 1315 11043
c18359 1284 5091
c14083 1299 4923
c15937 1316 3963
c16061 1318 4563
c16658 1319 5319
c17896 1312 5331
c15701 1311 4227
c17674 1310 4143
c14673 1296 4083
c14308 1299 5127
c16256 1316 4227
c160427 1309 10995
c13546 1325 4023
c209785 1325 6879
c14321 1314 5259
c18107 1300 5271
c16271 1312 3759
c46878 1327 6171
c160822 1328 10947
c13436 1328 5283
c16660 1310 5271
c209892 1285 5403
c17040 1314 5355
c128687 1329 6699
c17836 1320 5163
c210114 1330 6159
c14860 1324 3759
c209802 1331 6975
c128691 1332 6807
c16033 1303 5067
c15933 1332 3987
c17124 1319 5115
c209803 1332 6363
c160932 1319 10839
c17009 1301 5007
c16053 1332 4683
c16670 1328 5427
c15935 1333 4095
c17165 1334 5175
c17034 1334 5451
c14078 1334 4971
c14325 1309 5139
c17671 1335 4011
c160816 1301 10935
c16543 1325 5355
c13675 1323 5067
c16337 1307 5043
c14090 1337 4803
c14316 1312 5007
c13673 1319 5151
c13964 1323 5271
c160660 1338 10923
c160432 1297 11019
c17000 1328 5223
c13660 1330 5235
c13978 1329 5379
c17143 1327 5151
c16542 1319 5367
c17667 1340 4191
c210541 1341 6159
c15932 1341 4275
c17014 1342 5343
c161384 1320 10971
c14100 1342 4923
c161910 1342 10899
c15739 1331 5271
c14678 1320 4083
c15737 1343 5295
c160823 1309 11031
c13996 1332 5367
c151969 1343 5559
c19130 1344 4167
c14101 1344 4947
c16544 1323 5439
c13435 1326 5331
c209789 1345 7467
c160421 1345 11007
c17033 1345 5475
c209761 1346 5847
c13894 1336 5187
c16262 1323 4143
c13995 1342 5511
c17086 1336 5271
c18067 1336 4143
c14077 1347 4995
c17509 1339 5331
c46879 1347 6327
c160662 1326 11019
c14432 1323 5127
c15777 1344 5187
c17055 1336 5439
c209787 1349 7095
c151976 1349 5667
c14098 1349 4767
c15779 1342 5235
c13994 1347 5271
c17830 1326 4899
c17665 1340 4155
c14665 1350 4371
c18144 1326 4779
c14667 1350 4179
c17488 1350 4983
c160936 1350 10959
c160658 1348 10839
c162139 1332 10851
c13664 1338 5139
c15934 1351 4047
c14336 1351 3939
c14417 1352 4887
c210107 1352 5691
c209765 1344 5247
c17731 1335 5319
c14085 1353 4959
c15513 1353 4611
c161378 1338 11031
c151965 1354 5559
c151056 1354 5571
c160422 1330 10935
c18877 1354 4227
c16008 1355 5067
c13772 1337 5379
c17689 1355 4587
c17039 1342 5463
c209764 1356 5859
c210000 1356 6411
c14076 1341 5007
c162676 1357 10911
c16011 1343 4779
c16007 1342 4743
c17048 1341 5079
c15702 1358 4287
c161660 1358 10635
c13561 1358 4419
c161377 1340 10971
c17146 1291 5091
c14436 1338 5151
c14333 1307 5307
c17089 1343 5259
c13920 1339 5223
c14858 1359 3831
c15695 1351 4155
c14086 1307 5103
c13777 1360 5391
c18358 1360 4971
c14099 1340 4899
c14318 1342 5199
c16014 1330 5115
c17968 1360 3867
c16605 1360 5331
c16283 1362 4467
c129112 1362 7551
c209781 1363 6435
c17128 1352 5127
c151008 1347 5439
c16293 1364 4527
c209768 1295 5403
c162530 1338 10995
c16636 1364 5127
c160930 1364 10791
c14405 1331 4731
c209767 1350 5511
c14429 1365 4983
c16986 1347 5223
c14424 1335 4911
c13683 1336 5103
c13558 1360 4695
c210119 1366 5943
c13674 1352 5079
c160661 1344 10863
c210531 1366 5715
c13564 1352 4491
c17013 1305 5403
c14857 1367 3927
c14401 1348 4755
c17131 1367 4971
c14324 1350 5115
c16551 1355 5271
c13985 1353 5463
c151014 1353 5535
c160598 1367 10719
c17012 1345 5319
c162234 1346 10851
c46900 1368 2247
c17133 1365 5007
c151948 1368 5655
c160425 1368 10947
c209773 1369 7239
c18153 1337 4647
c16267 1369 4311
c46883 1353 6099
c151485 1370 5547
c205084 1370 6339
c150637 1370 6291
c15515 1370 4455
c15943 1362 4491
c16997 1371 4995
c151971 1360 5523
c17679 1371 3831
c13992 1362 5343
c151031 1361 5463
c19127 1353 3999
c151483 1360 5511
c160929 1372 10815
c16027 1336 5307
c161681 1372 10827
c16032 1372 5019
c18146 1362 4743
c16009 1342 4647
c16029 1318 5043
c151978 1368 5535
c13983 1368 5523
